"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","prate","Observer","SexEstimate","new_bug","BroodSize","nr_helpers","WatchType"
"168",207,1988,1988,0,3201,8,"Sub",NA,NA,"0",NA,NA,NA,NA
"169",207,1988,1989,1,3201,10,"Sub",NA,NA,"0",NA,NA,NA,NA
"170",207,1988,1990,2,3201,12,"Dom",NA,NA,"0",2.65244281811658,NA,NA,NA
"171",207,1988,1991,3,3201,14,"Dom",NA,NA,"0",NA,NA,NA,NA
"172",207,1988,1992,4,3201,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"173",207,1988,1993,5,3201,16,"Dom",NA,NA,"0",NA,NA,NA,NA
"174",207,1988,1994,6,3201,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"175",207,1988,1995,7,3201,19,"Dom",0.166666666666667,NA,"0",NA,1,0,"FI"
"176",207,1988,1996,8,3201,21,"Dom",NA,NA,"0",5.504502192368,NA,NA,NA
"177",207,1988,1997,9,3201,22,"Dom",NA,NA,"0",6.34906043057842,NA,NA,NA
"178",215,1988,1988,0,4078,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"179",215,1988,1989,1,4078,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"180",215,1988,1990,2,4078,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"181",215,1988,1991,3,4078,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"182",215,1988,1992,4,4078,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"183",215,1988,1993,5,4078,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"184",215,1988,1994,6,4078,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"185",215,1988,1995,7,4078,19,"Dom",NA,NA,"1",NA,NA,NA,NA
"186",215,1988,1996,8,4078,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"187",215,1988,1997,9,4078,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"188",215,1988,1998,10,4078,25,"Dom",NA,NA,"1",3.40909704468116,NA,NA,NA
"189",215,1988,1999,11,4078,28,"Dom",0.133333333333333,NA,"1",5.15521640586667,1,0,"FI"
"190",216,1988,1988,0,4747,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"191",216,1988,1989,1,4747,10,"Dom",NA,NA,"1",NA,NA,NA,NA
"192",216,1988,1990,2,4747,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"193",216,1988,1991,3,4747,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"194",216,1988,1992,4,4747,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"195",216,1988,1993,5,4747,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"196",216,1988,1994,6,4747,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"197",216,1988,1995,7,4747,19,"Dom",NA,NA,"1",NA,NA,NA,NA
"198",216,1988,1996,8,4747,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"199",216,1988,1997,9,4747,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"200",216,1988,1998,10,4747,25,"Dom",0.2,NA,"1",3.40909704426667,2,1,"F"
"201",216,1988,1998,10,4747,25,"Dom",0.133333333333333,NA,"1",3.40909704426667,2,1,"FI"
"202",216,1988,1999,11,4747,28,"Dom",NA,NA,"1",5.15521640609487,NA,NA,NA
"203",216,1988,2000,12,4747,39,"Dom",NA,NA,"1",NA,NA,NA,NA
"204",216,1988,2001,13,4747,40,"Dom",NA,NA,"1",NA,NA,NA,NA
"205",217,1988,1988,0,2931,8,"Sub",NA,NA,"0",NA,NA,NA,NA
"206",217,1988,1989,1,2931,10,"Sub",NA,NA,"0",NA,NA,NA,NA
"207",217,1988,1990,2,2931,12,"Sub",NA,NA,"0",2.65244281811658,NA,NA,NA
"208",217,1988,1991,3,2931,14,"Sub",NA,NA,"0",NA,NA,NA,NA
"209",217,1988,1992,4,2931,NA,"Sub",NA,NA,"0",NA,NA,NA,NA
"210",217,1988,1993,5,2931,16,"Dom",NA,NA,"0",NA,NA,NA,NA
"211",217,1988,1994,6,2931,17,"Dom",NA,NA,"0",NA,NA,NA,NA
"212",217,1988,1995,7,2931,19,"Dom",0.333333333333333,NA,"0",NA,1,0,"FL"
"213",217,1988,1996,8,2931,21,"Dom",0.2,NA,"0",5.50450219233333,1,1,"F"
"214",220,1988,1988,0,4731,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"215",220,1988,1989,1,4731,10,"Sub",NA,NA,"1",NA,NA,NA,NA
"216",220,1988,1990,2,4731,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"217",220,1988,1991,3,4731,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"218",220,1988,1992,4,4731,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"219",220,1988,1993,5,4731,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"220",220,1988,1994,6,4731,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"221",220,1988,1995,7,4731,19,"Dom",NA,NA,"1",NA,NA,NA,NA
"222",220,1988,1996,8,4731,21,"Dom",NA,NA,"1",5.504502192368,NA,NA,NA
"223",220,1988,1997,9,4731,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"224",220,1988,1998,10,4731,25,"Dom",NA,NA,"1",3.40909704468116,NA,NA,NA
"225",220,1988,1999,11,4731,28,"Dom",0.183333333333333,NA,"1",5.15521640586667,1,0,"FI"
"226",220,1988,2000,12,4731,39,"Dom",NA,NA,"1",NA,NA,NA,NA
"227",220,1988,2001,13,4731,40,"Dom",NA,NA,"1",NA,NA,NA,NA
"228",221,1988,1988,0,6378,8,"Sub",NA,NA,"1",NA,NA,NA,NA
"229",221,1988,1989,1,6378,10,"Sub",NA,NA,"1",NA,NA,NA,NA
"230",221,1988,1990,2,6378,12,"Dom",NA,NA,"1",2.65244281811658,NA,NA,NA
"231",221,1988,1991,3,6378,14,"Dom",NA,NA,"1",NA,NA,NA,NA
"232",221,1988,1992,4,6378,NA,"Sub",NA,NA,"1",NA,NA,NA,NA
"233",221,1988,1993,5,6378,16,"Dom",NA,NA,"1",NA,NA,NA,NA
"234",221,1988,1994,6,6378,17,"Dom",NA,NA,"1",NA,NA,NA,NA
"235",221,1988,1995,7,6378,19,"Dom",NA,NA,"1",NA,NA,NA,NA
"236",221,1988,1996,8,6378,21,"Dom",0.05,NA,"1",5.50450219233333,1,1,"F"
"237",221,1988,1997,9,6378,22,"Dom",NA,NA,"1",6.34906043057842,NA,NA,NA
"238",221,1988,1998,10,6378,25,"Dom",NA,NA,"1",3.40909704468116,NA,NA,NA
"239",221,1988,1999,11,6378,28,"Dom",NA,NA,"1",5.15521640609487,NA,NA,NA
"240",221,1988,2000,12,6378,39,"Dom",NA,NA,"1",NA,NA,NA,NA
