"","BirdID","birthyear","occasionyear","age_year","newlifespan","FPID","newstat","RTL","Whodunnit","SexEstimate","new_bug"
"197",458,1992,1996,4,3704,21,"Dom",NA,NA,"0",5.504502192368
"198",458,1992,1997,5,3704,22,"Dom",1.6,"EAF","0",6.34906043033333
"199",458,1992,1998,6,3704,25,"Dom",NA,NA,"0",3.40909704468116
"200",458,1992,1999,7,3704,28,"Dom",NA,NA,"0",5.15521640609487
"201",458,1992,2000,8,3704,39,"Dom",NA,NA,"0",NA
"202",458,1992,2001,9,3704,40,"Dom",NA,NA,"0",NA
"203",458,1992,2002,10,3704,41,"Dom",NA,NA,"0",NA
"204",458,1992,2003,11,3704,31,"Dom",1.04,"EB","0",NA
"205",459,1992,1992,0,5284,NA,"Sub",NA,NA,"0",NA
"206",459,1992,1993,1,5284,16,"Sub",NA,NA,"0",NA
"207",459,1992,1994,2,5284,17,"Sub",NA,NA,"0",NA
"208",459,1992,1995,3,5284,19,"Sub",NA,NA,"0",NA
"209",459,1992,1996,4,5284,21,"Help",NA,NA,"0",5.504502192368
"210",459,1992,1997,5,5284,22,"Sub",NA,NA,"0",6.34906043057842
"211",459,1992,1998,6,5284,25,"Help",NA,NA,"0",3.40909704468116
"212",459,1992,1999,7,5284,29,"Sub",1.02,"EAF","0",NA
"213",459,1992,2000,8,5284,39,"Dom",NA,NA,"0",NA
"214",459,1992,2001,9,5284,40,"Dom",NA,NA,"0",NA
"215",459,1992,2002,10,5284,41,"Dom",1.01,"EB","0",NA
"216",459,1992,2003,11,5284,30,"Dom",NA,NA,"0",3.65308711255895
"217",459,1992,2004,12,5284,34,"Dom",NA,NA,"0",3.18841004325798
"218",459,1992,2005,13,5284,37,"Dom",NA,NA,"0",3.76584093842371
"219",459,1992,2006,14,5284,75,"Dom",NA,NA,"0",3.14873123228241
"220",467,1992,1992,0,2924,NA,"Sub",NA,NA,"1",NA
"221",467,1992,1993,1,2924,16,"Sub",NA,NA,"1",NA
"222",467,1992,1994,2,2924,17,"Dom",NA,NA,"1",NA
"223",467,1992,1995,3,2924,19,"Dom",NA,NA,"1",NA
"224",467,1992,1996,4,2924,21,"Dom",NA,NA,"1",5.504502192368
"225",467,1992,1997,5,2924,22,"Dom",NA,NA,"1",6.34906043057842
"226",467,1992,1998,6,2924,23,"Dom",1.07,"EB","1",5.83789656866667
"227",467,1992,1999,7,2924,28,"Dom",NA,NA,"1",5.15521640609487
"228",467,1992,2000,8,2924,39,"Dom",NA,NA,"1",NA
"229",476,1992,1992,0,4869,NA,"Sub",NA,NA,"0",NA
"230",476,1992,1993,1,4869,16,"Dom",NA,NA,"0",NA
"231",476,1992,1994,2,4869,17,"Sub",NA,NA,"0",NA
"232",476,1992,1995,3,4869,19,"Dom",NA,NA,"0",NA
"233",476,1992,1996,4,4869,21,"Sub",NA,NA,"0",5.504502192368
"234",476,1992,1997,5,4869,22,"Sub",NA,NA,"0",6.34906043057842
"235",476,1992,1998,6,4869,25,"Sub",NA,NA,"0",3.40909704468116
"236",476,1992,1999,7,4869,29,"Sub",0.61,"EAF","0",NA
"237",476,1992,2000,8,4869,39,"Dom",NA,NA,"0",NA
"238",476,1992,2001,9,4869,40,"Dom",NA,NA,"0",NA
"239",476,1992,2002,10,4869,41,"Sub",NA,NA,"0",NA
"240",476,1992,2003,11,4869,30,"Sub",NA,NA,"0",3.65308711255895
"241",476,1992,2004,12,4869,34,"Sub",NA,NA,"0",3.18841004325798
"242",476,1992,2005,13,4869,37,"Help",NA,NA,"0",3.76584093842371
"243",477,1992,1992,0,2052,NA,"Sub",NA,NA,"1",NA
"244",477,1992,1993,1,2052,16,"Dom",NA,NA,"1",NA
"245",477,1992,1994,2,2052,17,"Dom",NA,NA,"1",NA
"246",477,1992,1995,3,2052,19,"Dom",NA,NA,"1",NA
"247",477,1992,1996,4,2052,21,"Dom",NA,NA,"1",5.504502192368
"248",477,1992,1997,5,2052,22,"Dom",1.13,"EB","1",6.34906043033333
"249",477,1992,1998,6,2052,25,"Sub",NA,NA,"1",3.40909704468116
"250",494,1990,1990,0,4042,12,"Sub",NA,NA,"1",2.65244281811658
"251",494,1990,1991,1,4042,14,"Dom",NA,NA,"1",NA
"252",494,1990,1992,2,4042,NA,"Sub",NA,NA,"1",NA
"253",494,1990,1993,3,4042,16,"Dom",NA,NA,"1",NA
"254",494,1990,1994,4,4042,17,"Dom",NA,NA,"1",NA
"255",494,1990,1995,5,4042,19,"Dom",0.51,"EAF","1",NA
"256",494,1990,1996,6,4042,21,"Dom",NA,NA,"1",5.504502192368
"257",494,1990,1997,7,4042,22,"Dom",NA,NA,"1",6.34906043057842
"258",494,1990,1998,8,4042,25,"Dom",NA,NA,"1",3.40909704468116
"259",494,1990,1999,9,4042,28,"Dom",NA,NA,"1",5.15521640609487
"260",494,1990,2000,10,4042,39,"Dom",NA,NA,"1",NA
"261",494,1990,2001,11,4042,40,"Dom",NA,NA,"1",NA
"262",495,1993,1993,0,2940,16,"Sub",NA,NA,"1",NA
"263",495,1993,1994,1,2940,17,"Sub",NA,NA,"1",NA
"264",495,1993,1995,2,2940,19,"Dom",1.89,"EAF","1",NA
"265",495,1993,1996,3,2940,21,"Dom",NA,NA,"1",5.504502192368
"266",495,1993,1997,4,2940,22,"Dom",NA,NA,"1",6.34906043057842
"267",495,1993,1998,5,2940,25,"Dom",NA,NA,"1",3.40909704468116
"268",495,1993,1999,6,2940,28,"Dom",NA,NA,"1",5.15521640609487
"269",495,1993,2000,7,2940,39,"Dom",0.81,"EAF","1",NA
"270",495,1993,2001,8,2940,40,"Dom",NA,NA,"1",NA
"271",497,1993,1993,0,5183,16,"Sub",NA,NA,"1",NA
"272",497,1993,1994,1,5183,17,"Dom",NA,NA,"1",NA
"273",497,1993,1995,2,5183,19,"Dom",NA,NA,"1",NA
"274",497,1993,1996,3,5183,21,"Dom",NA,NA,"1",5.504502192368
"275",497,1993,1997,4,5183,22,"Dom",1.21,"EB","1",6.34906043033333
"276",497,1993,1998,5,5183,25,"Dom",NA,NA,"1",3.40909704468116
"277",497,1993,1999,6,5183,28,"Dom",NA,NA,"1",5.15521640609487
"278",497,1993,2000,7,5183,39,"Dom",0.99,"EB","1",NA
"279",497,1993,2001,8,5183,40,"Dom",NA,NA,"1",NA
"280",497,1993,2002,9,5183,41,"Dom",NA,NA,"1",NA
"281",497,1993,2003,10,5183,30,"Dom",NA,NA,"1",3.65308711255895
"282",497,1993,2004,11,5183,34,"Dom",NA,NA,"1",3.18841004325798
"283",497,1993,2005,12,5183,37,"Dom",NA,NA,"1",3.76584093842371
"284",497,1993,2006,13,5183,75,"Dom",NA,NA,"1",3.14873123228241
"285",497,1993,2007,14,5183,82,"Dom",0.42,"EAF","1",2.00111878428571
"286",498,1993,1993,0,1599,16,"Sub",NA,NA,"1",NA
"287",498,1993,1994,1,1599,17,"Sub",NA,NA,"1",NA
"288",498,1993,1995,2,1599,19,"Sub",NA,NA,"1",NA
"289",498,1993,1996,3,1599,21,"Sub",NA,NA,"1",5.504502192368
"290",498,1993,1997,4,1599,22,"Sub",NA,NA,"1",6.34906043057842
"291",498,1993,1998,5,1599,23,"Dom",1.09,"EB","1",5.83789656866667
"292",499,1993,1993,0,4804,16,"Sub",NA,NA,"1",NA
"293",499,1993,1994,1,4804,17,"Dom",NA,NA,"1",NA
"294",499,1993,1995,2,4804,19,"Dom",NA,NA,"1",NA
"295",499,1993,1996,3,4804,21,"Dom",NA,NA,"1",5.504502192368
"296",499,1993,1997,4,4804,22,"Dom",0.64,"EAF","1",6.34906043033333
"297",499,1993,1998,5,4804,25,"Dom",NA,NA,"1",3.40909704468116
"298",499,1993,1999,6,4804,28,"Dom",NA,NA,"1",5.15521640609487
"299",499,1993,2000,7,4804,39,"Dom",NA,NA,"1",NA
"300",499,1993,2001,8,4804,40,"Dom",NA,NA,"1",NA
"301",499,1993,2002,9,4804,41,"Dom",NA,NA,"1",NA
"302",499,1993,2003,10,4804,30,"Dom",NA,NA,"1",3.65308711255895
"303",499,1993,2004,11,4804,34,"Dom",NA,NA,"1",3.18841004325798
"304",499,1993,2005,12,4804,37,"Dom",NA,NA,"1",3.76584093842371
"305",499,1993,2006,13,4804,75,"Sub",NA,NA,"1",3.14873123228241
"306",500,1991,1991,0,2704,14,"Sub",NA,NA,"0",NA
"307",500,1991,1992,1,2704,NA,"Sub",NA,NA,"0",NA
"308",500,1991,1993,2,2704,16,"Dom",NA,NA,"0",NA
"309",500,1991,1994,3,2704,17,"Dom",NA,NA,"0",NA
"310",500,1991,1995,4,2704,19,"Dom",NA,NA,"0",NA
"311",500,1991,1996,5,2704,21,"Dom",NA,NA,"0",5.504502192368
"312",500,1991,1997,6,2704,22,"Dom",2.09,"EB","0",6.34906043033333
"313",500,1991,1998,7,2704,25,"Sub",NA,NA,"0",3.40909704468116
"314",501,1994,1994,0,3098,17,"Sub",NA,NA,"1",NA
"315",501,1994,1995,1,3098,19,"Dom",NA,NA,"1",NA
"316",501,1994,1996,2,3098,21,"Dom",NA,NA,"1",5.504502192368
"317",501,1994,1997,3,3098,22,"Dom",NA,NA,"1",6.34906043057842
"318",501,1994,1998,4,3098,25,"Dom",NA,NA,"1",3.40909704468116
"319",501,1994,1999,5,3098,28,"Dom",NA,NA,"1",5.15521640609487
"320",501,1994,2000,6,3098,39,"Dom",NA,NA,"1",NA
"321",501,1994,2001,7,3098,40,"Dom",NA,NA,"1",NA
"322",501,1994,2002,8,3098,41,"Dom",NA,NA,"1",NA
"323",501,1994,2003,9,3098,30,"Dom",0.98,"EB","1",3.65308711307692
"324",503,1993,1993,0,5341,16,"Sub",NA,NA,"0",NA
"325",503,1993,1994,1,5341,17,"Dom",NA,NA,"0",NA
"326",503,1993,1995,2,5341,19,"Dom",NA,NA,"0",NA
"327",503,1993,1996,3,5341,21,"Dom",NA,NA,"0",5.504502192368
"328",503,1993,1997,4,5341,22,"Dom",NA,NA,"0",6.34906043057842
"329",503,1993,1998,5,5341,25,"Dom",NA,NA,"0",3.40909704468116
"330",503,1993,1999,6,5341,28,"Dom",NA,NA,"0",5.15521640609487
"331",503,1993,2000,7,5341,39,"Dom",NA,NA,"0",NA
"332",503,1993,2001,8,5341,40,"Dom",NA,NA,"0",NA
"333",503,1993,2002,9,5341,41,"Dom",NA,NA,"0",NA
"334",503,1993,2003,10,5341,30,"Dom",0.73,"EB","0",3.65308711307692
"335",503,1993,2004,11,5341,34,"Dom",NA,NA,"0",3.18841004325798
"336",503,1993,2005,12,5341,37,"Dom",NA,NA,"0",3.76584093842371
"337",503,1993,2006,13,5341,75,"Dom",NA,NA,"0",3.14873123228241
"338",503,1993,2007,14,5341,82,"Dom",0.74,"EAF","0",2.00111878428571
"339",503,1993,2008,15,5341,87,"Sub",NA,NA,"0",2.59212595036396
"340",504,1993,1993,0,2593,16,"Sub",NA,NA,"0",NA
"341",504,1993,1994,1,2593,17,"Sub",NA,NA,"0",NA
"342",504,1993,1995,2,2593,19,"Dom",NA,NA,"0",NA
"343",504,1993,1996,3,2593,21,"Dom",NA,NA,"0",5.504502192368
"344",504,1993,1997,4,2593,22,"Dom",NA,NA,"0",6.34906043057842
"345",504,1993,1998,5,2593,25,"Dom",NA,NA,"0",3.40909704468116
"346",504,1993,1999,6,2593,26,"Dom",0.46,"EB","0",1.51550549603333
"347",504,1993,2000,7,2593,39,"Dom",NA,NA,"0",NA
"348",507,1993,1993,0,5540,16,"Sub",NA,NA,"1",NA
"349",507,1993,1994,1,5540,17,"Dom",NA,NA,"1",NA
"350",507,1993,1995,2,5540,19,"Dom",NA,NA,"1",NA
"351",507,1993,1996,3,5540,21,"Dom",NA,NA,"1",5.504502192368
"352",507,1993,1997,4,5540,22,"Dom",NA,NA,"1",6.34906043057842
"353",507,1993,1998,5,5540,25,"Dom",0.92,"EB","1",3.40909704426667
"354",507,1993,1999,6,5540,28,"Dom",NA,NA,"1",5.15521640609487
"355",507,1993,2000,7,5540,39,"Dom",NA,NA,"1",NA
"356",507,1993,2001,8,5540,40,"Dom",NA,NA,"1",NA
"357",507,1993,2002,9,5540,41,"Dom",NA,NA,"1",NA
"358",507,1993,2003,10,5540,30,"Dom",0.93,"EB","1",3.65308711307692
"359",507,1993,2004,11,5540,34,"Dom",NA,NA,"1",3.18841004325798
"360",507,1993,2005,12,5540,37,"Dom",NA,NA,"1",3.76584093842371
"361",507,1993,2006,13,5540,75,"Dom",NA,NA,"1",3.14873123228241
"362",507,1993,2007,14,5540,82,"Dom",NA,NA,"1",2.00111878419741
"363",507,1993,2008,15,5540,87,"Dom",NA,NA,"1",2.59212595036396
"364",509,1993,1993,0,3373,16,"Sub",NA,NA,"1",NA
"365",509,1993,1994,1,3373,17,"Sub",NA,NA,"1",NA
"366",509,1993,1995,2,3373,19,"Dom",0.52,"EB","1",NA
"367",509,1993,1996,3,3373,21,"Dom",NA,NA,"1",5.504502192368
"368",509,1993,1997,4,3373,22,"Dom",NA,NA,"1",6.34906043057842
